treatment,control,true_effect,N,bwfactor,bias,se,rmse,avse,coverage_rate
5.0,2.0,21.0,2000,2.0,0.52426263334612955,0.32374177305115021,0.616144335490801,0.37535019575347844,0.74925
5.0,2.0,21.0,4000,0.25,0.28887199843915212,0.40389707531817748,0.49652703422973365,0.64904885810524537,0.99725000000000119
5.0,2.0,21.0,4000,0.5,0.29266135170741592,0.30529906325066636,0.42288873586967518,0.46709003562280577,0.98925000000000163
5.0,2.0,21.0,4000,0.75,0.3082204104419759,0.26851505253891877,0.40875681005905684,0.38837857506495543,0.96974999999999978
5.0,2.0,21.0,4000,1.0,0.33026371673023647,0.25191864489000226,0.41535678696842981,0.34458922038087914,0.92999999999999727
5.0,2.0,21.0,4000,1.25,0.35710421400115422,0.24385794881693876,0.43240635076713935,0.317036857087637,0.86649999999999816
5.0,2.0,21.0,4000,1.5,0.38624975286558083,0.23981552913314258,0.45462729980737138,0.29818658873957266,0.79849999999999954
5.0,2.0,21.0,4000,1.75,0.41997841674187342,0.23849090396233055,0.48295503136829981,0.28538894396032488,0.71250000000000069
5.0,2.0,21.0,4000,2.0,0.45637189294630431,0.24027234131040062,0.5157438026488409,0.27662390079961358,0.624500000000001
5.0,2.0,21.0,8000,0.25,0.29471382893354914,0.31089041616170632,0.42835140785710518,0.49662982732897826,0.99425000000000041
5.0,2.0,21.0,8000,0.5,0.29707776999622837,0.23480418942683809,0.37864815534544582,0.356318379955854,0.96774999999999978
5.0,2.0,21.0,8000,0.75,0.307979497381929,0.20608915382381376,0.37055835160821421,0.29720789962255079,0.92049999999999876
5.0,2.0,21.0,8000,1.0,0.32217984728376692,0.191595678569614,0.37483273711927939,0.26395074046338229,0.85724999999999951
5.0,2.0,21.0,8000,1.25,0.34032815621527135,0.18353397444737374,0.38665171991002817,0.242738590398559,0.77399999999999947
5.0,2.0,21.0,8000,1.5,0.35981836491163222,0.17975192541624521,0.40220881731989983,0.22797180311219359,0.69100000000000028
5.0,2.0,21.0,8000,1.75,0.38265058245859507,0.18104035077440941,0.42330707880010077,0.21768229538545827,0.58200000000000041
5.0,2.0,21.0,8000,2.0,0.40689281842688629,0.18530634320849695,0.44709240869256572,0.21023768256518358,0.49400000000000005
6.0,2.0,32.0,2000,0.25,0.28377513821328648,0.58890446162183641,0.65364370406960925,0.929664821557767,0.99699999999999844
6.0,2.0,32.0,2000,0.5,0.23163559526386734,0.44243458141719111,0.4993540534904552,0.66678780009568328,0.99624999999999875
6.0,2.0,32.0,2000,0.75,0.17956225158903294,0.40090165656604337,0.43923178379821803,0.56519238865409327,0.99350000000000027
